rank,name,deck_freq,copies,winrate,play_time,play_freq,play_winrate
0,Saronite Chain Gang,0.220,2.000,0.533,4100000,0.017,0.524
1,Fire Fly,0.270,1.900,0.543,4000000,0.017,0.498
2,Stonehill Defender,0.208,1.900,0.532,3700000,0.016,0.494
3,Tar Creeper,0.241,1.700,0.530,3600000,0.015,0.486
4,Wild Growth,0.138,2.000,0.527,2500000,0.011,0.531
5,Acolyte of Pain,0.156,1.800,0.510,2200000,0.010,0.510
6,Swipe,0.135,1.900,0.526,2200000,0.009,0.523
7,The Lich King,0.315,1.000,0.534,2200000,0.009,0.545
8,Lesser Jasper Spellstone,0.131,2.000,0.529,2200000,0.009,0.515
9,Oaken Summons,0.122,1.900,0.530,2100000,0.009,0.535
10,Doomsayer,0.154,1.800,0.519,2100000,0.009,0.457
11,Lifedrinker,0.102,1.900,0.514,2100000,0.009,0.551
12,Glacial Shard,0.114,1.900,0.520,2100000,0.009,0.501
13,Plated Beetle,0.114,1.900,0.533,2100000,0.009,0.506
14,Nourish,0.138,2.000,0.527,2000000,0.009,0.534
15,Primordial Drake,0.153,1.800,0.523,2000000,0.009,0.529
16,Branching Paths,0.127,1.900,0.529,1900000,0.008,0.542
17,Mountain Giant,0.109,2.000,0.534,1900000,0.008,0.568
18,Twilight Drake,0.104,2.000,0.537,1800000,0.008,0.526
19,Flanking Strike,0.138,2.000,0.552,1800000,0.008,0.501
20,Hench-Clan Thug,0.108,2.000,0.538,1700000,0.007,0.523
21,Phantom Militia,0.041,1.900,0.527,1700000,0.007,0.517
22,Animal Companion,0.100,2.000,0.546,1700000,0.007,0.496
23,Argent Squire,0.126,1.900,0.559,1700000,0.007,0.484
24,Candleshot,0.119,1.900,0.550,1600000,0.007,0.514
25,Fungalmancer,0.152,1.900,0.556,1500000,0.007,0.537
26,Warpath,0.043,2.000,0.527,1500000,0.007,0.527
27,SI:7 Agent,0.109,1.900,0.536,1500000,0.007,0.490
28,Lesser Amethyst Spellstone,0.112,2.000,0.532,1500000,0.007,0.506
29,Hellfire,0.114,2.000,0.530,1500000,0.007,0.517
30,Spellbreaker,0.183,1.500,0.540,1500000,0.006,0.506
31,Vilespine Slayer,0.121,1.900,0.528,1400000,0.006,0.488
32,Dire Mole,0.105,1.900,0.549,1400000,0.006,0.481
33,Wrath,0.099,1.600,0.525,1400000,0.006,0.500
34,Fal'dorei Strider,0.071,2.000,0.519,1400000,0.006,0.531
35,Hex,0.104,1.900,0.521,1400000,0.006,0.498
36,Backstab,0.081,2.000,0.510,1300000,0.006,0.492
37,Wandering Monster,0.091,2.000,0.549,1300000,0.006,0.479
38,Righteous Protector,0.085,2.000,0.562,1300000,0.006,0.490
39,Vulgar Homunculus,0.074,2.000,0.544,1300000,0.006,0.509
40,Tracking,0.089,1.900,0.547,1300000,0.006,0.486
41,Cold Blood,0.104,2.000,0.541,1300000,0.006,0.586
42,Naturalize,0.090,1.900,0.523,1300000,0.006,0.540
43,Lesser Emerald Spellstone,0.090,2.000,0.550,1200000,0.005,0.550
44,Eaglehorn Bow,0.095,1.900,0.547,1200000,0.005,0.498
45,Fan of Knives,0.087,1.900,0.513,1200000,0.005,0.481
46,Prince Keleseth,0.130,1.000,0.533,1200000,0.005,0.558
47,Shadow Visions,0.061,2.000,0.496,1200000,0.005,0.498
48,Rotten Applebaum,0.067,1.700,0.510,1100000,0.005,0.508
49,Explosive Trap,0.090,1.900,0.548,1100000,0.005,0.451
50,Elven Minstrel,0.082,1.900,0.510,1100000,0.005,0.508
51,Mana Tide Totem,0.072,1.900,0.505,1100000,0.005,0.519
52,Kill Command,0.087,2.000,0.548,1100000,0.005,0.537
53,Hooked Reaver,0.075,2.000,0.544,1100000,0.005,0.494
54,Ironwood Golem,0.098,1.800,0.530,1100000,0.005,0.491
55,Defile,0.112,2.000,0.531,1100000,0.005,0.484
56,Preparation,0.075,2.000,0.514,1100000,0.005,0.527
57,Lightning Storm,0.075,1.900,0.504,1100000,0.005,0.484
58,Shudderwock,0.073,1.000,0.505,1100000,0.005,0.840
59,Far Sight,0.064,1.900,0.508,1100000,0.005,0.519
60,Freezing Trap,0.089,1.800,0.549,1100000,0.005,0.480
61,Lost in the Jungle,0.081,2.000,0.566,1000000,0.005,0.491
62,Eviscerate,0.066,2.000,0.518,1000000,0.005,0.518
63,Ferocious Howl,0.064,1.700,0.518,1000000,0.004,0.516
64,Carnivorous Cube,0.118,1.900,0.517,1000000,0.004,0.667
65,Acherus Veteran,0.086,1.900,0.562,1000000,0.004,0.501
66,Arcane Tyrant,0.065,1.800,0.533,1000000,0.004,0.518
67,Kobold Librarian,0.057,2.000,0.509,1000000,0.004,0.502
68,Sap,0.078,1.900,0.509,1000000,0.004,0.502
69,Unidentified Maul,0.081,2.000,0.567,1000000,0.004,0.520
70,Shroom Brewer,0.076,1.900,0.543,1000000,0.004,0.523
71,Power Word: Shield,0.048,2.000,0.488,1000000,0.004,0.496
72,Vicious Fledgling,0.069,1.900,0.541,1000000,0.004,0.485
73,Arcane Artificer,0.053,2.000,0.510,980000,0.004,0.527
74,Volcano,0.073,2.000,0.505,980000,0.004,0.472
75,Unleash the Hounds,0.090,1.900,0.548,980000,0.004,0.438
76,Hunter's Mark,0.102,1.600,0.552,970000,0.004,0.483
77,Fireball,0.046,2.000,0.527,960000,0.004,0.600
78,Primordial Glyph,0.046,1.900,0.515,950000,0.004,0.471
79,Stitched Tracker,0.070,2.000,0.542,930000,0.004,0.523
80,Northshire Cleric,0.047,2.000,0.499,930000,0.004,0.486
81,Deathstalker Rexxar,0.142,1.000,0.549,920000,0.004,0.445
82,Sunfury Protector,0.064,1.800,0.550,900000,0.004,0.503
83,Frostbolt,0.045,2.000,0.527,890000,0.004,0.478
84,Healing Rain,0.072,1.900,0.504,890000,0.004,0.510
