name,set,rank,deck_freq,copies,winrate,play_time,play_freq,play_winrate
Stonehill Defender,Un'Goro,2,0.208,1.900,0.532,3700000,0.016,0.494
The Lich King,Frozen Throne,7,0.315,1.000,0.534,2200000,0.009,0.545
Oaken Summons,Kobalds,9,0.122,1.900,0.530,2100000,0.009,0.535
Animal Companion,Basic,22,0.100,2.000,0.546,1700000,0.007,0.496
Fal'dorei Strider,Kobalds,34,0.071,2.000,0.519,1400000,0.006,0.531
Wandering Monster,Kobalds,37,0.091,2.000,0.549,1300000,0.006,0.479
Tracking,Basic,40,0.089,1.900,0.547,1300000,0.006,0.486
Shadow Visions,Un'Goro,47,0.061,2.000,0.496,1200000,0.005,0.498
Lightning Storm,Classic,57,0.075,1.900,0.504,1100000,0.005,0.484
Shudderwock,Witchwood,58,0.073,1.000,0.505,1100000,0.005,0.840
Unidentified Maul,Kobalds,69,0.081,2.000,0.567,1000000,0.004,0.520
Vicious Fledgling,Un'Goro,72,0.069,1.900,0.541,1000000,0.004,0.485
Volcano,Un'Goro,74,0.073,2.000,0.505,980000,0.004,0.472
Primordial Glyph,Un'Goro,78,0.046,1.900,0.515,950000,0.004,0.471
Stitched Tracker,Frozen Throne,79,0.070,2.000,0.542,930000,0.004,0.523
Deathstalker Rexxar,Frozen Throne,81,0.142,1.000,0.549,920000,0.004,0.445
Blink Fox,Witchwood,91,0.060,1.900,0.531,830000,0.004,0.458
Seeping Oozeling,Kobalds,108,0.058,2.000,0.551,710000,0.003,0.614
To My Side!,Kobalds,109,0.043,1.900,0.561,700000,0.003,0.524
Raven Familiar,Kobalds,112,0.038,1.900,0.531,700000,0.003,0.529
Crackling Razormaw,Un'Goro,114,0.033,2.000,0.545,680000,0.003,0.504
Arcane Missiles,Basic,118,0.032,2.000,0.534,660000,0.003,0.479
Arcane Keysmith,Witchwood,121,0.044,1.700,0.531,650000,0.003,0.532
Dragon's Fury,Kobalds,123,0.043,2.000,0.527,640000,0.003,0.503
Mind Control Tech,Classic,127,0.068,1.200,0.517,620000,0.003,0.498
Cobalt Scalebane,Frozen Throne,130,0.074,1.500,0.539,620000,0.003,0.502
