name,set,rank,deck_freq,copies,winrate,play_time,play_freq,play_winrate
Shadow Visions,Un'Goro,7,0.106,1.800,0.542,170000,0.007,0.532
Maelstrom Portal,Karazhan,16,0.120,1.900,0.601,120000,0.005,0.510
Oaken Summons,Kobalds,17,0.073,2.000,0.579,120000,0.005,0.584
Stonehill Defender,Un'Goro,19,0.081,1.600,0.533,120000,0.005,0.464
Primordial Glyph,Un'Goro,20,0.069,1.700,0.552,120000,0.005,0.503
Mad Scientist,Naxxramas,39,0.076,1.700,0.574,100000,0.005,0.546
Devolve,Gadgetzan,42,0.116,1.800,0.601,100000,0.004,0.455
Shadow Essence,Frozen Throne,50,0.056,2.000,0.555,97000,0.004,0.567
Deathlord,Naxxramas,51,0.072,1.400,0.520,97000,0.004,0.502
Eternal Servitude,Frozen Throne,64,0.060,1.900,0.549,85000,0.004,0.638
Dirty Rat,Gadgetzan,70,0.085,1.100,0.525,82000,0.003,0.520
The Lich King,Frozen Throne,74,0.137,1.000,0.555,80000,0.003,0.547
Resurrect,Blackrock Mountain,75,0.053,1.900,0.555,80000,0.003,0.641
Animal Companion,Basic,77,0.048,1.800,0.581,79000,0.003,0.490
Kazakus,Gadgetzan,79,0.081,1.000,0.546,78000,0.003,0.571
Voidcaller,Naxxramas,81,0.068,1.300,0.558,76000,0.003,0.577
Piloted Shredder,Goblins vs Gnomes,82,0.076,1.700,0.598,76000,0.003,0.508
Barnes,Karazhan,88,0.078,1.000,0.557,74000,0.003,0.625
Knife Juggler,Classic,90,0.059,1.600,0.617,72000,0.003,0.505
Crackle,Goblins vs Gnomes,93,0.074,2.000,0.636,71000,0.003,0.550
Sylvanas Windrunner,Classic,97,0.101,1.000,0.535,67000,0.003,0.565
Lightning Storm,Classic,104,0.053,1.600,0.494,63000,0.003,0.433
Swashburglar,Karazhan,109,0.039,1.900,0.554,60000,0.003,0.496
"N'Zoth, the Corruptor",Old Gods,111,0.133,1.000,0.528,58000,0.002,0.612
Netherspite Historian,Karazhan,116,0.034,1.900,0.552,56000,0.002,0.498
Obsidian Statue,Frozen Throne,118,0.067,1.800,0.545,55000,0.002,0.522
Arcane Missiles,Basic,119,0.023,1.800,0.557,55000,0.002,0.463
Ragnaros the Firelord,Classic,125,0.088,1.000,0.553,54000,0.002,0.591
Drakonid Operative,Gadgetzan,128,0.033,1.800,0.553,53000,0.002,0.514
Shudderwock,Witchwood,136,0.054,1.000,0.489,50000,0.002,0.770
Firelands Portal,Karazhan,143,0.035,1.500,0.553,47000,0.002,0.496
Volcano,Un'Goro,146,0.049,1.700,0.487,46000,0.002,0.407
Gnomeferatu,Frozen Throne,147,0.042,1.100,0.546,46000,0.002,0.544
Twilight's Call,Kobalds,149,0.029,1.700,0.504,45000,0.002,0.560
Wandering Monster,Kobalds,150,0.037,1.700,0.578,45000,0.002,0.482
Bloodreaver Gul'dan,Frozen Throne,151,0.098,1.000,0.554,45000,0.002,0.647
Babbling Book,Karazhan,154,0.023,1.600,0.513,44000,0.002,0.464
Lesser Diamond Spellstone,Kobalds,157,0.058,1.900,0.551,43000,0.002,0.599
Blink Fox,Witchwood,160,0.028,1.900,0.522,42000,0.002,0.475
Call to Arms,Kobalds,167,0.030,1.900,0.594,40000,0.002,0.508
Flamewaker,Blackrock Mountain,169,0.018,1.900,0.570,40000,0.002,0.513
Tracking,Basic,184,0.029,1.700,0.569,37000,0.002,0.483
Cobalt Scalebane,Frozen Throne,187,0.039,1.500,0.566,36000,0.002,0.499
Fal'dorei Strider,Kobalds,190,0.020,1.700,0.523,36000,0.002,0.525
Unidentified Maul,Kobalds,194,0.029,1.800,0.633,35000,0.001,0.525
Deathstalker Rexxar,Frozen Throne,205,0.049,1.000,0.566,32000,0.001,0.440
Hallucination,Un'Goro,211,0.020,1.800,0.486,31000,0.001,0.440
Vicious Fledgling,Un'Goro,215,0.022,1.800,0.587,30000,0.001,0.505
Cinderstorm,Witchwood,216,0.016,1.700,0.559,30000,0.001,0.488
Crackling Razormaw,Un'Goro,217,0.014,1.900,0.592,30000,0.001,0.501
Cabalist's Tome,Old Gods,218,0.018,1.400,0.490,30000,0.001,0.486
Mind Control Tech,Classic,221,0.036,1.200,0.516,30000,0.001,0.454
Avenge,Naxxramas,234,0.020,1.800,0.608,28000,0.001,0.527
Shimmering Tempest,Un'Goro,241,0.012,1.500,0.479,27000,0.001,0.401
Crystalline Oracle,Un'Goro,243,0.017,1.500,0.464,27000,0.001,0.442
Stitched Tracker,Frozen Throne,244,0.022,1.600,0.527,27000,0.001,0.490
Pick Pocket,Witchwood,248,0.013,1.400,0.468,26000,0.001,0.425
Brawl,Classic,258,0.021,1.800,0.451,25000,0.001,0.422
Undercity Huckster,Old Gods,260,0.016,1.800,0.490,25000,0.001,0.452
Possessed Lackey,Kobalds,268,0.020,1.600,0.539,24000,0.001,0.544
Shadow Ascendant,Frozen Throne,270,0.013,1.800,0.535,24000,0.001,0.468
"Y'Shaarj, Rage Unbound",Old Gods,273,0.059,1.000,0.564,23000,0.001,0.619
Dr. Boom,Goblins vs Gnomes,276,0.040,1.000,0.576,23000,0.001,0.535
Sir Finley Mrrgglton,League of Explorer,278,0.029,1.000,0.563,23000,0.001,0.503
Hydrologist,Un'Goro,286,0.012,1.800,0.565,22000,0.001,0.465
Unstable Portal,Goblins vs Gnomes,290,0.006,1.600,0.550,21000,0.001,0.447
Skull of the Man'ari,Kobalds,296,0.022,1.000,0.551,21000,0.001,0.593
Jeweled Macaw,Un'Goro,297,0.008,1.800,0.546,20000,0.001,0.425
Hagatha the Witch,Witchwood,299,0.040,1.000,0.547,20000,0.001,0.474
Tortollan Shellraiser,Un'Goro,302,0.012,1.300,0.491,20000,0.001,0.441
Doomguard,Classic,306,0.040,1.700,0.558,20000,0.001,0.527
Evolve,Old Gods,314,0.012,1.700,0.531,19000,0.001,0.514
Arcane Keysmith,Witchwood,316,0.013,1.300,0.528,19000,0.001,0.492
Free From Amber,Un'Goro,318,0.017,1.500,0.528,19000,0.001,0.478
Dragon's Fury,Kobalds,338,0.015,1.400,0.513,17000,0.001,0.443
Kabal Courier,Gadgetzan,342,0.013,1.100,0.533,17000,0.001,0.472
Dark Peddler,League of Explorer,345,0.013,1.400,0.578,17000,0.001,0.522
Gentle Megasaur,Un'Goro,361,0.011,1.800,0.593,16000,0.001,0.505
Raven Familiar,Kobalds,364,0.009,1.500,0.522,15000,0.001,0.468
