rank,name,deck_freq,copies,winrate,play_time,play_freq,play_winrate
0,Coldlight Oracle,0.136,1.900,0.512,380000,0.016,0.593
1,Jade Idol,0.059,1.800,0.576,220000,0.010,0.601
2,Kingsbane,0.056,1.000,0.540,200000,0.009,0.603
3,Wild Growth,0.114,2.000,0.567,190000,0.008,0.563
4,Swipe,0.116,1.900,0.566,180000,0.008,0.568
5,Doomsayer,0.164,1.400,0.529,180000,0.008,0.500
6,Fireball,0.080,1.800,0.578,180000,0.008,0.631
7,Shadow Visions,0.106,1.800,0.542,170000,0.007,0.532
8,Nourish,0.116,1.900,0.567,160000,0.007,0.576
9,Frostbolt,0.084,1.800,0.571,150000,0.006,0.499
10,Jade Claws,0.108,2.000,0.620,140000,0.006,0.563
11,Wrath,0.081,1.900,0.561,130000,0.006,0.544
12,Mana Wyrm,0.066,1.900,0.592,130000,0.006,0.542
13,Branching Paths,0.100,1.700,0.570,130000,0.006,0.585
14,Deadly Poison,0.078,2.000,0.544,130000,0.005,0.595
15,Flametongue Totem,0.102,2.000,0.628,130000,0.005,0.591
16,Maelstrom Portal,0.120,1.900,0.601,120000,0.005,0.510
17,Oaken Summons,0.073,2.000,0.579,120000,0.005,0.584
18,Arcane Intellect,0.092,1.700,0.557,120000,0.005,0.489
19,Stonehill Defender,0.081,1.600,0.533,120000,0.005,0.464
20,Primordial Glyph,0.069,1.700,0.552,120000,0.005,0.503
21,Lesser Jasper Spellstone,0.082,1.900,0.579,120000,0.005,0.575
22,Shadowstep,0.082,1.900,0.519,120000,0.005,0.570
23,Saronite Chain Gang,0.073,1.700,0.510,120000,0.005,0.485
24,Cavern Shinyfinder,0.062,1.900,0.537,110000,0.005,0.582
25,Sap,0.090,1.800,0.529,110000,0.005,0.531
26,Tar Creeper,0.081,1.600,0.540,110000,0.005,0.463
27,Totem Golem,0.092,2.000,0.633,110000,0.005,0.555
28,Jade Lightning,0.106,2.000,0.622,110000,0.005,0.548
29,Ferocious Howl,0.072,1.800,0.561,110000,0.005,0.571
30,Spreading Plague,0.099,1.900,0.574,110000,0.005,0.524
31,Sorcerer's Apprentice,0.064,1.700,0.566,110000,0.005,0.575
32,Arcanologist,0.067,1.800,0.581,110000,0.005,0.550
33,Shadow Word: Pain,0.082,1.700,0.537,110000,0.005,0.504
34,Preparation,0.081,1.800,0.532,110000,0.005,0.556
35,Backstab,0.073,1.800,0.528,110000,0.005,0.502
36,Righteous Protector,0.069,2.000,0.607,110000,0.005,0.522
37,Fire Fly,0.079,1.900,0.587,100000,0.005,0.506
38,Thing from Below,0.090,2.000,0.636,100000,0.005,0.563
39,Mad Scientist,0.076,1.700,0.574,100000,0.005,0.546
40,Jade Blossom,0.062,1.900,0.579,100000,0.004,0.582
41,Murkspark Eel,0.083,2.000,0.643,100000,0.004,0.581
42,Devolve,0.116,1.800,0.601,100000,0.004,0.455
43,Explosive Runes,0.057,1.900,0.594,100000,0.004,0.562
44,Elven Minstrel,0.075,1.800,0.537,100000,0.004,0.565
45,Spellbreaker,0.170,1.300,0.595,100000,0.004,0.477
46,Kobold Librarian,0.078,1.400,0.553,100000,0.004,0.530
47,Sludge Belcher,0.089,1.300,0.530,100000,0.004,0.514
48,Dire Wolf Alpha,0.083,1.900,0.636,100000,0.004,0.548
49,Counterspell,0.060,1.800,0.588,98000,0.004,0.557
50,Shadow Essence,0.056,2.000,0.555,97000,0.004,0.567
51,Deathlord,0.072,1.400,0.520,97000,0.004,0.502
52,Emperor Thaurissan,0.123,1.000,0.516,96000,0.004,0.598
53,Fan of Knives,0.073,1.700,0.529,91000,0.004,0.494
54,Vanish,0.077,1.900,0.521,91000,0.004,0.534
55,Loot Hoarder,0.060,1.700,0.495,90000,0.004,0.490
56,Tinker's Sharpsword Oil,0.057,1.900,0.541,90000,0.004,0.653
57,Brann Bronzebeard,0.127,1.000,0.524,90000,0.004,0.573
58,Jade Spirit,0.059,1.900,0.577,89000,0.004,0.545
59,Ultimate Infestation,0.103,1.800,0.576,87000,0.004,0.655
60,Malfurion the Pestilent,0.103,1.000,0.574,86000,0.004,0.591
61,Northshire Cleric,0.049,1.700,0.528,85000,0.004,0.471
